.	X start	X inc	X end	Y start	Y inc	Y end
1.000	4.300	0.005	4.700
position	G'	G	T	R	GT	GR	G'T	G'R
4.3000	34175.0000	30646.0000	18903.0000	20748.0000	21.0000	10.0000	12.0000	52.0000
4.3050	33516.0000	30458.0000	18837.0000	20913.0000	29.0000	9.0000	7.0000	48.0000
4.3100	33855.0000	30419.0000	18932.0000	20661.0000	29.0000	18.0000	12.0000	47.0000
4.3150	33620.0000	30279.0000	18933.0000	20415.0000	24.0000	6.0000	10.0000	56.0000
4.3200	33715.0000	30282.0000	18642.0000	20438.0000	29.0000	12.0000	9.0000	45.0000
4.3250	33708.0000	30436.0000	18905.0000	20673.0000	30.0000	6.0000	8.0000	46.0000
4.3300	33738.0000	30292.0000	18679.0000	20515.0000	14.0000	14.0000	9.0000	59.0000
4.3350	33587.0000	30119.0000	18521.0000	20613.0000	28.0000	12.0000	16.0000	56.0000
4.3400	33916.0000	30373.0000	18934.0000	20175.0000	27.0000	15.0000	14.0000	43.0000
4.3450	33571.0000	30163.0000	18719.0000	20326.0000	18.0000	13.0000	7.0000	67.0000
4.3500	33413.0000	30313.0000	18322.0000	20098.0000	27.0000	8.0000	11.0000	56.0000
4.3550	33278.0000	30413.0000	18707.0000	20112.0000	25.0000	11.0000	10.0000	52.0000
4.3600	33209.0000	30576.0000	18631.0000	20312.0000	35.0000	10.0000	14.0000	68.0000
4.3650	33422.0000	30321.0000	18624.0000	20217.0000	17.0000	7.0000	8.0000	58.0000
4.3700	33258.0000	30450.0000	18751.0000	20001.0000	25.0000	13.0000	12.0000	49.0000
4.3750	33494.0000	30152.0000	18807.0000	20313.0000	31.0000	7.0000	10.0000	50.0000
4.3800	33178.0000	30318.0000	19039.0000	20337.0000	27.0000	9.0000	9.0000	59.0000
4.3850	33294.0000	30639.0000	18615.0000	19882.0000	27.0000	11.0000	13.0000	51.0000
4.3900	33742.0000	30173.0000	18582.0000	20089.0000	25.0000	10.0000	7.0000	43.0000
4.3950	33378.0000	30626.0000	18731.0000	20133.0000	32.0000	16.0000	13.0000	70.0000
4.4000	33440.0000	30430.0000	18578.0000	20227.0000	28.0000	18.0000	10.0000	73.0000
4.4050	33421.0000	30372.0000	18414.0000	20027.0000	20.0000	14.0000	10.0000	63.0000
4.4100	33549.0000	30681.0000	18548.0000	19920.0000	20.0000	21.0000	9.0000	47.0000
4.4150	33781.0000	30412.0000	18729.0000	20230.0000	21.0000	18.0000	14.0000	45.0000
