.	X start	X inc	X end	Y start	Y inc	Y end
1.000	4.500	0.001	4.600
position	G'	G	T	R	GT	GR	G'T	G'R
4.5000	44529.0000	44928.0000	30160.0000	27112.0000	40.0000	35.0000	7.0000	36.0000
4.5010	36358.0000	39259.0000	24411.0000	22952.0000	21.0000	19.0000	4.0000	30.0000
4.5020	30261.0000	34672.0000	18462.0000	19678.0000	52.0000	17.0000	18.0000	17.0000
4.5030	30119.0000	34470.0000	18799.0000	19779.0000	79.0000	22.0000	16.0000	32.0000
4.5040	29843.0000	34776.0000	18888.0000	19531.0000	83.0000	20.0000	12.0000	41.0000
4.5050	30083.0000	34363.0000	18665.0000	19424.0000	80.0000	34.0000	12.0000	54.0000
4.5060	30183.0000	34754.0000	18701.0000	19707.0000	38.0000	32.0000	5.0000	63.0000
4.5070	30136.0000	34604.0000	18812.0000	19414.0000	20.0000	36.0000	6.0000	47.0000
4.5080	30309.0000	34678.0000	18794.0000	19349.0000	24.0000	25.0000	7.0000	31.0000
4.5090	29590.0000	34950.0000	18756.0000	19554.0000	37.0000	12.0000	13.0000	19.0000
4.5100	30024.0000	34754.0000	18788.0000	19498.0000	70.0000	16.0000	19.0000	35.0000
4.5110	30090.0000	34448.0000	18851.0000	19824.0000	91.0000	22.0000	10.0000	40.0000
4.5120	55619.0000	52235.0000	39120.0000	32840.0000	73.0000	28.0000	13.0000	40.0000
4.5130	29905.0000	34454.0000	18862.0000	20309.0000	59.0000	36.0000	5.0000	53.0000
4.5140	29956.0000	34809.0000	18860.0000	19953.0000	32.0000	35.0000	4.0000	40.0000
4.5150	29872.0000	34467.0000	19095.0000	20170.0000	18.0000	18.0000	8.0000	29.0000
4.5160	37515.0000	40610.0000	26556.0000	24663.0000	35.0000	31.0000	22.0000	23.0000
4.5170	30223.0000	35315.0000	18945.0000	20333.0000	66.0000	15.0000	12.0000	32.0000
4.5180	30179.0000	34647.0000	18881.0000	20182.0000	75.0000	17.0000	11.0000	42.0000
4.5190	30129.0000	34562.0000	18630.0000	20337.0000	93.0000	32.0000	4.0000	42.0000
4.5200	50421.0000	49151.0000	35393.0000	30623.0000	67.0000	31.0000	10.0000	49.0000
4.5210	29901.0000	34688.0000	19022.0000	19362.0000	30.0000	33.0000	3.0000	46.0000
4.5220	30322.0000	34850.0000	19127.0000	19228.0000	21.0000	28.0000	16.0000	46.0000
4.5230	30092.0000	34595.0000	19227.0000	19582.0000	23.0000	33.0000	9.0000	16.0000
4.5240	30191.0000	34490.0000	19078.0000	19675.0000	53.0000	14.0000	13.0000	24.0000
4.5250	30345.0000	34449.0000	18917.0000	19419.0000	62.0000	18.0000	14.0000	40.0000
4.5260	29992.0000	34679.0000	18834.0000	19547.0000	87.0000	27.0000	5.0000	52.0000
4.5270	30366.0000	34085.0000	19010.0000	19043.0000	73.0000	24.0000	0.0000	66.0000
4.5280	30372.0000	34125.0000	18814.0000	19387.0000	40.0000	43.0000	2.0000	55.0000
4.5290	30102.0000	34323.0000	18990.0000	19315.0000	21.0000	31.0000	6.0000	30.0000
4.5300	30044.0000	34019.0000	18925.0000	19953.0000	25.0000	39.0000	16.0000	21.0000
4.5310	29963.0000	34133.0000	18817.0000	19940.0000	48.0000	21.0000	10.0000	30.0000
4.5320	30046.0000	34193.0000	18768.0000	19769.0000	72.0000	10.0000	9.0000	37.0000
4.5330	30110.0000	34028.0000	18581.0000	19964.0000	89.0000	19.0000	7.0000	58.0000
4.5340	29999.0000	34156.0000	18828.0000	19946.0000	74.0000	25.0000	5.0000	59.0000
4.5350	29766.0000	33928.0000	18993.0000	19831.0000	44.0000	28.0000	2.0000	49.0000
4.5360	30306.0000	33971.0000	18967.0000	19709.0000	21.0000	45.0000	8.0000	30.0000
4.5370	30132.0000	33523.0000	18854.0000	19659.0000	12.0000	30.0000	12.0000	18.0000
4.5380	30276.0000	33829.0000	18766.0000	19836.0000	39.0000	17.0000	17.0000	19.0000
4.5390	30231.0000	34097.0000	18644.0000	19607.0000	54.0000	14.0000	10.0000	29.0000
4.5400	29927.0000	33400.0000	18474.0000	19536.0000	89.0000	18.0000	5.0000	49.0000
4.5410	29710.0000	33616.0000	18403.0000	19543.0000	80.0000	22.0000	2.0000	49.0000
4.5420	29842.0000	33284.0000	18690.0000	19467.0000	41.0000	22.0000	7.0000	47.0000
4.5430	29974.0000	33815.0000	18864.0000	19269.0000	29.0000	29.0000	13.0000	31.0000
4.5440	29901.0000	33722.0000	18762.0000	19657.0000	18.0000	43.0000	9.0000	30.0000
4.5450	29857.0000	33379.0000	18624.0000	19717.0000	19.0000	29.0000	11.0000	24.0000
4.5460	29683.0000	33680.0000	18734.0000	19756.0000	44.0000	16.0000	7.0000	26.0000
4.5470	29754.0000	33292.0000	18792.0000	19738.0000	70.0000	13.0000	5.0000	47.0000
4.5480	29741.0000	33133.0000	18461.0000	19781.0000	84.0000	27.0000	2.0000	47.0000
4.5490	29616.0000	33388.0000	18619.0000	19632.0000	47.0000	21.0000	5.0000	51.0000
4.5500	29609.0000	33405.0000	18955.0000	19053.0000	39.0000	32.0000	11.0000	38.0000
